Country,Volume,Type
Belgium,10.3,All
Bulgaria,1568,All
Czech Republic,783,All
Germany,8907,All
Greece,2501.1,All
Spain,43284,All
France,47857,All
Croatia,992,All
Italy,50700,All
Cyprus,79.3,All
Luxembourg,111,All
Austria,2268.4,All
Portugal,7045,All
Slovenia,823.102,All
Slovakia,342.96,All
United Kingdom,38,All
Turkey,561.948,All
Belgium,8.5,White
Bulgaria,722,White
Czech Republic,495,White
Germany,5448,White
Greece,1753.6,White
Spain,21669.94,White
France,21982,White
Croatia,717.91,White
Italy,26118,White
Cyprus,30.9,White
Luxembourg,103,White
Austria,1468.7,White
Portugal,:,White
Slovenia,568.876,White
Slovakia,222.84,White
United Kingdom,32,White
Turkey,219.66,White
Belgium,1.8,Red & Rose
Bulgaria,846,Red & Rose
Czech Republic,288,Red & Rose
Germany,3459,Red & Rose
Greece,747.5,Red & Rose
Spain,21614.06,Red & Rose
France,25875,Red & Rose
Croatia,274.09,Red & Rose
Italy,24582,Red & Rose
Cyprus,48.4,Red & Rose
Luxembourg,8,Red & Rose
Austria,799.7,Red & Rose
Portugal,:,Red & Rose
Slovenia,254.226,Red & Rose
Slovakia,120.12,Red & Rose
United Kingdom,6,Red & Rose
Turkey,342.288,Red & Rose
